Benchmark,Base,Changed
2to3,0.47391,0.34489
async_generators,0.58330,0.62428
async_tree_cpu_io_mixed,1.32,0.87024
async_tree_eager,0.94271,0.13920
async_tree_eager_cpu_io_mixed,1.32,0.50087
async_tree_eager_io,2.22,1.39
async_tree_eager_memoization,1.14,0.32687
async_tree_io,2.19,1.30
async_tree_memoization,1.14,0.70996
async_tree_none,0.93164,0.56662
asyncio_tcp,1.04,0.59036
asyncio_tcp_ssl,3.54,2.14
asyncio_websockets,0.66674,0.67575
bench_mp_pool,0.03965,0.00664
bench_thread_pool,0.00143,0.00123
chameleon,0.01344,0.00898
chaos,0.17731,0.08179
comprehensions,0.00004153,0.00002844
coroutines,0.06543,0.03084
coverage,0.07548,0.09745
create_gc_cycles,0.00151,0.00130
crypto_pyaes,0.18041,0.09738
dask,0.78554,0.64944
deepcopy,0.00065336,0.00047786
deepcopy_memo,0.00007687,0.00005093
deepcopy_reduce,0.00000575,0.00000434
deltablue,0.01185,0.00424
docutils,4.34,3.43
dulwich_log,0.12732,0.09692
fannkuch,0.72119,0.52373
float,0.17946,0.10732
gc_traversal,0.00396,0.00421
generators,0.08020,0.04039
genshi_text,0.04543,0.02981
genshi_xml,0.09108,0.06615
go,0.38704,0.16850
hexiom,0.01501,0.00755
html5lib,0.13166,0.07678
json_dumps,0.01814,0.01311
json_loads,0.00003582,0.00003293
logging_format,0.00001460,0.00000882
logging_silent,0.00000030586,0.00000013985
logging_simple,0.00001325,0.00000810
mako,0.02404,0.01354
mdp,4.10,3.46
meteor_contest,0.15608,0.13328
nbody,0.21895,0.12074
nqueens,0.15494,0.10988
pathlib,0.02993,0.02657
pickle,0.00001205,0.00001242
pickle_dict,0.00003383,0.00003301
pickle_list,0.00000507,0.00000513
pickle_pure_python,0.00068458,0.00038259
pidigits,0.21882,0.21732
pprint_pformat,2.16,2.01
pyflate,1.05,0.55288
python_startup,0.01250,0.01185
python_startup_no_site,0.00810,0.00898
raytrace,0.80798,0.39265
regex_compile,0.27538,0.18361
regex_dna,0.24912,0.22557
regex_effbot,0.00394,0.00406
regex_v8,0.03181,0.02664
richards,0.10810,0.05380
richards_super,0.13062,0.06117
scimark_fft,0.60960,0.47468
scimark_lu,0.25415,0.15287
scimark_monte_carlo,0.16989,0.09235
scimark_sor,0.30365,0.16321
scimark_sparse_mat_mult,0.00827,0.00585
spectral_norm,0.22244,0.13964
sqlalchemy_declarative,0.22545,0.20861
sqlalchemy_imperative,0.03699,0.03161
sqlglot_normalize,0.20536,0.14534
sqlglot_optimize,0.09800,0.07197
sqlglot_parse,0.00338,0.00167
sqlglot_transpile,0.00391,0.00204
sqlite_synth,0.00000420,0.00000332
sympy_expand,0.83839,0.62851
sympy_integrate,0.03448,0.02625
sympy_str,0.49687,0.38874
sympy_sum,0.27177,0.22063
telco,0.00942,0.00890
tomli_loads,3.94,2.67
tornado_http,0.22090,0.15603
typing_runtime_protocols,0.00080283,0.00019163
unpack_sequence,0.00000007029,0.00000005141
unpickle,0.00001883,0.00001860
unpickle_list,0.00000599,0.00000632
unpickle_pure_python,0.00049963,0.00028806
xml_etree_generate,0.13715,0.11588
xml_etree_iterparse,0.14939,0.13485
xml_etree_parse,0.20554,0.18658
xml_etree_process,0.11086,0.07819
