Benchmark,Base,Changed
2to3,0.47391,0.48101
async_generators,0.58330,0.60018
async_tree_cpu_io_mixed,1.32,1.32
async_tree_eager,0.94271,0.95105
async_tree_eager_cpu_io_mixed,1.32,1.33
async_tree_eager_io,2.22,2.23
async_tree_eager_memoization,1.14,1.16
async_tree_io,2.19,2.22
async_tree_memoization,1.14,1.15
async_tree_none,0.93164,0.94854
asyncio_tcp,1.04,1.05
asyncio_tcp_ssl,3.54,3.69
asyncio_websockets,0.66674,0.67000
bench_mp_pool,0.03965,0.02642
bench_thread_pool,0.00143,0.00150
chameleon,0.01344,0.01396
chaos,0.17731,0.18245
comprehensions,0.00004153,0.00004132
coroutines,0.06543,0.06626
coverage,0.07548,0.07568
create_gc_cycles,0.00151,0.00156
crypto_pyaes,0.18041,0.17701
dask,0.78554,0.80293
deepcopy,0.00065336,0.00067390
deepcopy_memo,0.00007687,0.00007959
deepcopy_reduce,0.00000575,0.00000593
deltablue,0.01185,0.01145
docutils,4.34,4.31
dulwich_log,0.12732,0.13011
fannkuch,0.72119,0.73851
float,0.17946,0.18788
gc_traversal,0.00396,0.00419
generators,0.08020,0.08140
genshi_text,0.04543,0.04714
genshi_xml,0.09108,0.09220
go,0.38704,0.38392
hexiom,0.01501,0.01458
html5lib,0.13166,0.13026
json_dumps,0.01814,0.01841
json_loads,0.00003582,0.00003554
logging_format,0.00001460,0.00001485
logging_silent,0.00000030586,0.00000030148
logging_simple,0.00001325,0.00001363
mako,0.02404,0.02494
mdp,4.10,4.17
meteor_contest,0.15608,0.15658
nbody,0.21895,0.21902
nqueens,0.15494,0.15663
pathlib,0.02993,0.03112
pickle,0.00001205,0.00001186
pickle_dict,0.00003383,0.00003433
pickle_list,0.00000507,0.00000510
pickle_pure_python,0.00068458,0.00068778
pidigits,0.21882,0.22288
pprint_pformat,2.16,2.19
pyflate,1.05,1.07
python_startup,0.01250,0.01263
python_startup_no_site,0.00810,0.00822
raytrace,0.80798,0.80672
regex_compile,0.27538,0.27849
regex_dna,0.24912,0.25147
regex_effbot,0.00394,0.00402
regex_v8,0.03181,0.03226
richards,0.10810,0.10783
richards_super,0.13062,0.13111
scimark_fft,0.60960,0.60958
scimark_lu,0.25415,0.25372
scimark_monte_carlo,0.16989,0.17130
scimark_sor,0.30365,0.31380
scimark_sparse_mat_mult,0.00827,0.00766
spectral_norm,0.22244,0.22190
sqlalchemy_declarative,0.22545,0.22873
sqlalchemy_imperative,0.03699,0.03743
sqlglot_normalize,0.20536,0.20907
sqlglot_optimize,0.09800,0.09979
sqlglot_parse,0.00338,0.00343
sqlglot_transpile,0.00391,0.00398
sqlite_synth,0.00000420,0.00000438
sympy_expand,0.83839,0.84836
sympy_integrate,0.03448,0.03492
sympy_str,0.49687,0.50105
sympy_sum,0.27177,0.27381
telco,0.00942,0.00942
tomli_loads,3.94,4.07
tornado_http,0.22090,0.22620
typing_runtime_protocols,0.00080283,0.00082203
unpack_sequence,0.00000007029,0.00000007021
unpickle,0.00001883,0.00001854
unpickle_list,0.00000599,0.00000591
unpickle_pure_python,0.00049963,0.00050371
xml_etree_generate,0.13715,0.14117
xml_etree_iterparse,0.14939,0.15270
xml_etree_parse,0.20554,0.20682
xml_etree_process,0.11086,0.11035
