Benchmark,Base,Changed
2to3,0.47391,0.31132
async_generators,0.58330,0.43459
async_tree_cpu_io_mixed,1.32,0.94075
async_tree_eager,0.94271,0.60807
async_tree_eager_cpu_io_mixed,1.32,0.94598
async_tree_eager_io,2.22,1.39
async_tree_eager_memoization,1.14,0.73784
async_tree_io,2.19,1.40
async_tree_memoization,1.14,0.73592
async_tree_none,0.93164,0.60615
asyncio_tcp,1.04,0.93438
asyncio_tcp_ssl,3.54,3.70
asyncio_websockets,0.66674,0.67553
bench_mp_pool,0.03965,0.00677
bench_thread_pool,0.00143,0.00119
chameleon,0.01344,0.00838
chaos,0.17731,0.08119
comprehensions,0.00004153,0.00002729
coroutines,0.06543,0.03222
coverage,0.07548,0.08955
create_gc_cycles,0.00151,0.00129
crypto_pyaes,0.18041,0.08768
dask,0.78554,0.52740
deepcopy,0.00065336,0.00043573
deepcopy_memo,0.00007687,0.00004984
deepcopy_reduce,0.00000575,0.00000388
deltablue,0.01185,0.00484
docutils,4.34,3.11
dulwich_log,0.12732,0.08747
fannkuch,0.72119,0.48203
float,0.17946,0.09474
gc_traversal,0.00396,0.00425
generators,0.08020,0.06065
genshi_text,0.04543,0.02777
genshi_xml,0.09108,0.06325
go,0.38704,0.17087
hexiom,0.01501,0.00772
html5lib,0.13166,0.07322
json_dumps,0.01814,0.01471
json_loads,0.00003582,0.00002970
logging_format,0.00001460,0.00000849
logging_silent,0.00000030586,0.00000013273
logging_simple,0.00001325,0.00000777
mako,0.02404,0.01269
mdp,4.10,3.30
meteor_contest,0.15608,0.13073
nbody,0.21895,0.11776
nqueens,0.15494,0.10252
pathlib,0.02993,0.02430
pickle,0.00001205,0.00001136
pickle_dict,0.00003383,0.00003378
pickle_list,0.00000507,0.00000435
pickle_pure_python,0.00068458,0.00037161
pidigits,0.21882,0.21931
pprint_pformat,2.16,1.77
pyflate,1.05,0.52255
python_startup,0.01250,0.01069
python_startup_no_site,0.00810,0.00792
raytrace,0.80798,0.36326
regex_compile,0.27538,0.16059
regex_dna,0.24912,0.21511
regex_effbot,0.00394,0.00356
regex_v8,0.03181,0.02567
richards,0.10810,0.05915
richards_super,0.13062,0.07147
scimark_fft,0.60960,0.40557
scimark_lu,0.25415,0.14056
scimark_monte_carlo,0.16989,0.08726
scimark_sor,0.30365,0.14738
scimark_sparse_mat_mult,0.00827,0.00530
spectral_norm,0.22244,0.13192
sqlalchemy_declarative,0.22545,0.16734
sqlalchemy_imperative,0.03699,0.02521
sqlglot_normalize,0.20536,0.13395
sqlglot_optimize,0.09800,0.06520
sqlglot_parse,0.00338,0.00173
sqlglot_transpile,0.00391,0.00204
sqlite_synth,0.00000420,0.00000281
sympy_expand,0.83839,0.57954
sympy_integrate,0.03448,0.02511
sympy_str,0.49687,0.35418
sympy_sum,0.27177,0.20821
telco,0.00942,0.00808
tomli_loads,3.94,2.62
tornado_http,0.22090,0.15220
typing_runtime_protocols,0.00080283,0.00058608
unpack_sequence,0.00000007029,0.00000005548
unpickle,0.00001883,0.00001525
unpickle_list,0.00000599,0.00000587
unpickle_pure_python,0.00049963,0.00028085
xml_etree_generate,0.13715,0.09893
xml_etree_iterparse,0.14939,0.12758
xml_etree_parse,0.20554,0.18645
xml_etree_process,0.11086,0.06924
