Benchmark,Base,Changed
2to3,0.47391,0.39516
async_generators,0.58330,0.53394
async_tree_cpu_io_mixed,1.32,1.10
async_tree_eager,0.94271,0.82215
async_tree_eager_cpu_io_mixed,1.32,1.11
async_tree_eager_io,2.22,1.92
async_tree_eager_memoization,1.14,1.00
async_tree_io,2.19,1.92
async_tree_memoization,1.14,1.01
async_tree_none,0.93164,0.82462
asyncio_tcp,1.04,0.97433
asyncio_tcp_ssl,3.54,3.39
asyncio_websockets,0.66674,0.68159
bench_mp_pool,0.03965,0.02323
bench_thread_pool,0.00143,0.00127
chameleon,0.01344,0.01090
chaos,0.17731,0.13065
comprehensions,0.00004153,0.00003202
coroutines,0.06543,0.03934
coverage,0.07548,0.08642
create_gc_cycles,0.00151,0.00151
crypto_pyaes,0.18041,0.14086
dask,0.78554,0.65185
deepcopy,0.00065336,0.00053388
deepcopy_memo,0.00007687,0.00006197
deepcopy_reduce,0.00000575,0.00000464
deltablue,0.01185,0.00922
docutils,4.34,3.86
dulwich_log,0.12732,0.10521
fannkuch,0.72119,0.58525
float,0.17946,0.13777
gc_traversal,0.00396,0.00436
generators,0.08020,0.06546
genshi_text,0.04543,0.03613
genshi_xml,0.09108,0.07430
go,0.38704,0.28337
hexiom,0.01501,0.01151
html5lib,0.13166,0.10137
json_dumps,0.01814,0.01545
json_loads,0.00003582,0.00003319
logging_format,0.00001460,0.00001156
logging_silent,0.00000030586,0.00000021696
logging_simple,0.00001325,0.00001057
mako,0.02404,0.01803
mdp,4.10,3.62
meteor_contest,0.15608,0.14097
nbody,0.21895,0.16751
nqueens,0.15494,0.12161
pathlib,0.02993,0.02627
pickle,0.00001205,0.00001148
pickle_dict,0.00003383,0.00003250
pickle_list,0.00000507,0.00000450
pickle_pure_python,0.00068458,0.00054406
pidigits,0.21882,0.22044
pprint_pformat,2.16,2.38
pyflate,1.05,0.82795
python_startup,0.01250,0.01131
python_startup_no_site,0.00810,0.00728
raytrace,0.80798,0.59856
regex_compile,0.27538,0.21347
regex_dna,0.24912,0.24954
regex_effbot,0.00394,0.00394
regex_v8,0.03181,0.03129
richards,0.10810,0.09153
richards_super,0.13062,0.10841
scimark_fft,0.60960,0.50163
scimark_lu,0.25415,0.20025
scimark_monte_carlo,0.16989,0.13458
scimark_sor,0.30365,0.23558
scimark_sparse_mat_mult,0.00827,0.00644
spectral_norm,0.22244,0.18177
sqlalchemy_declarative,0.22545,0.19585
sqlalchemy_imperative,0.03699,0.03039
sqlglot_normalize,0.20536,0.16478
sqlglot_optimize,0.09800,0.07946
sqlglot_parse,0.00338,0.00252
sqlglot_transpile,0.00391,0.00296
sqlite_synth,0.00000420,0.00000330
sympy_expand,0.83839,0.66228
sympy_integrate,0.03448,0.02999
sympy_str,0.49687,0.40911
sympy_sum,0.27177,0.23931
telco,0.00942,0.00794
tomli_loads,3.94,3.34
tornado_http,0.22090,0.19602
typing_runtime_protocols,0.00080283,0.00062613
unpack_sequence,0.00000007029,0.00000006955
unpickle,0.00001883,0.00001624
unpickle_list,0.00000599,0.00000622
unpickle_pure_python,0.00049963,0.00037072
xml_etree_generate,0.13715,0.11706
xml_etree_iterparse,0.14939,0.13427
xml_etree_parse,0.20554,0.18996
xml_etree_process,0.11086,0.09519
