3.9.10,2.999,6.071,11.969,23.936
3.9.10-nogil_0,0.602,0.607,0.642,2.201
3.9.10-nogil_1,0.591,1.194,2.367,4.735
3.9.18,2.724,5.442,11.014,21.913
3.10.13,3.034,6.313,12.387,25.449
3.11.8,0.661,1.325,2.647,5.297
3.12.2,0.656,1.315,2.614,5.25
