,Benchmark,3.9.10,nogil-3.9,3.9.18,3.10.13,3.11.8,3.12.0,nogil-3.12,3.12.2
62,regex_v8,0.03226,0.032,0.03181,0.03129,0.02567,0.02664,0.02495,0.02609
63,richards,0.10783,0.05671,0.1081,0.09153,0.05915,0.0538,0.04983,0.05598
64,richards_super,0.13111,0.075,0.13062,0.10841,0.07147,0.06117,0.06191,0.06405
65,scimark_fft,0.60958,0.57679,0.6096,0.50163,0.40557,0.47468,0.40582,0.47691
66,scimark_lu,0.25372,0.21248,0.25415,0.20025,0.14056,0.15287,0.13562,0.15525
67,scimark_monte_carlo,0.1713,0.15517,0.16989,0.13458,0.08726,0.09235,0.08063,0.09233
68,scimark_sor,0.3138,0.22021,0.30365,0.23558,0.14738,0.16321,0.13818,0.1643
69,scimark_sparse_mat_mult,0.00766,0.00788,0.00827,0.00644,0.0053,0.00585,0.00477,0.00599
70,spectral_norm,0.2219,0.18173,0.22244,0.18177,0.13192,0.13964,0.12668,0.14335
71,sqlalchemy_declarative,0.22873,,0.22545,0.19585,0.16734,0.20861,0.16397,0.21154
72,sqlalchemy_imperative,0.03743,,0.03699,0.03039,0.02521,0.03161,0.02545,0.03135
73,sqlglot_normalize,0.20907,0.22498,0.20536,0.16478,0.13395,0.14534,0.12847,0.14687
74,sqlglot_optimize,0.09979,0.0962,0.098,0.07946,0.0652,0.07197,0.06226,0.07227
75,sqlglot_parse,0.00343,0.00307,0.00338,0.00252,0.00173,0.00167,0.00174,0.00168
76,sqlglot_transpile,0.00398,0.00348,0.00391,0.00296,0.00204,0.00204,0.00205,0.00205
77,sqlite_synth,4.38e-06,4.47e-06,4.2e-06,3.3e-06,2.81e-06,3.32e-06,2.79e-06,3.23e-06
78,sympy_expand,0.84836,0.76242,0.83839,0.66228,0.57954,0.62851,0.55627,0.6224
79,sympy_integrate,0.03492,0.03413,0.03448,0.02999,0.02511,0.02625,0.02485,0.02596
80,sympy_str,0.50105,0.48957,0.49687,0.40911,0.35418,0.38874,0.34835,0.37973
81,sympy_sum,0.27381,0.29164,0.27177,0.23931,0.20821,0.22063,0.20961,0.21298
82,telco,0.00942,0.01095,0.00942,0.00794,0.00808,0.0089,0.00766,0.00902
83,tomli_loads,4.07,3.65,3.94,3.34,2.62,2.67,2.4,2.71
84,tornado_http,0.2262,0.18766,0.2209,0.19602,0.1522,0.15603,,0.15633
85,typing_runtime_protocols,0.00082203,0.00087491,0.00080283,0.00062613,0.00058608,0.00019163,0.00056818,0.00016119
86,unpack_sequence,7.021e-08,6.259e-08,7.029e-08,6.955e-08,5.548e-08,5.141e-08,5.213e-08,5.18e-08
87,unpickle,1.854e-05,2.582e-05,1.883e-05,1.624e-05,1.525e-05,1.86e-05,1.554e-05,1.948e-05
88,unpickle_list,5.91e-06,7.3e-06,5.99e-06,6.22e-06,5.87e-06,6.32e-06,5.63e-06,6.55e-06
89,unpickle_pure_python,0.00050371,0.00037268,0.00049963,0.00037072,0.00028085,0.00028806,0.00024299,0.00027743
90,xml_etree_generate,0.14117,0.12266,0.13715,0.11706,0.09893,0.11588,0.09764,0.11563
91,xml_etree_iterparse,0.1527,0.12931,0.14939,0.13427,0.12758,0.13485,0.12654,0.13587
92,xml_etree_parse,0.20682,0.18674,0.20554,0.18996,0.18645,0.18658,0.1847,0.18832
93,xml_etree_process,0.11035,0.09775,0.11086,0.09519,0.06924,0.07819,0.06687,0.07841
